min,max,q,median,mean,q3,var,iqr
-5.412101745605469e-05,2.0197601318359375,0.000380992889404,0.00118112564087,0.0381423838062,0.00270009040833,0.0267405901983,0.00231909751892
-5.793571472167969e-05,2.0203568935394287,0.000383853912354,0.0012229681015,0.038639936104,0.00301831960678,0.0274062838497,0.00263446569443
-2.9802322387695312e-05,2.0198209285736084,0.000396907329559,0.00128746032715,0.0399388727352,0.0031909942627,0.0280470522905,0.00279408693314
-1.8835067749023438e-05,2.453066110610962,0.000392436981201,0.00127255916595,0.0415761333295,0.00313413143158,0.0301878842642,0.00274169445038
-2.7179718017578125e-05,3.318790912628174,0.000374555587769,0.00121688842773,0.0417957663466,0.00306391716003,0.0338875796023,0.00268936157227
-1.5974044799804688e-05,6.526959180831909,0.000411987304688,0.00126910209656,0.0442516957633,0.00304901599884,0.0510074868314,0.00263702869415
-1.5974044799804688e-05,6.494113922119141,0.000395536422729,0.00121402740479,0.0664966218694,0.00303292274475,0.144949360305,0.00263738632202
-2.09808349609375e-05,3.7912981510162354,0.000397026538849,0.00122034549713,0.0433782265817,0.0030734539032,0.0381508317682,0.00267642736435
-1.1920928955078125e-05,7.9835450649261475,0.00041651725769,0.00126004219055,0.0470558857862,0.00305151939392,0.0732648082849,0.00263500213623
-1.811981201171875e-05,7.8957200050354,0.00039541721344,0.00129199028015,0.0460338929003,0.00297605991364,0.0604509631382,0.0025806427002
-2.7179718017578125e-05,9.970337152481079,0.000412940979004,0.00128197669983,0.0464964094558,0.00304293632507,0.0727277621223,0.00262999534607
-2.384185791015625e-05,2.0235610008239746,0.000382125377655,0.00123310089111,0.0388754440877,0.00311523675919,0.0269554017053,0.00273311138153
-2.4080276489257812e-05,2.099618911743164,0.000382721424103,0.00123250484467,0.0384871181078,0.00310671329498,0.0256937673061,0.00272399187088
-4.696846008300781e-05,7.136760950088501,0.00041002035141,0.00123500823975,0.0462325454314,0.00304740667343,0.0600126005292,0.00263738632202
-3.2901763916015625e-05,6.0978920459747314,0.00040602684021,0.00121164321899,0.0439194219842,0.0030762553215,0.0484486421507,0.00267022848129
-7.009506225585938e-05,5.041201114654541,0.000406980514526,0.00127696990967,0.043198656747,0.00347685813904,0.0398340186179,0.00306987762451
-2.8133392333984375e-05,2.0340189933776855,0.000380992889404,0.00129044055939,0.0416150399123,0.00336384773254,0.0294178395832,0.00298285484314
-2.4080276489257812e-05,2.020536184310913,0.000383913516998,0.00129151344299,0.0400442935677,0.00330203771591,0.0284715183234,0.00291812419891
-1.5974044799804688e-05,2.0236120223999023,0.000413119792938,0.00132203102112,0.0419727296184,0.00298833847046,0.02809985915,0.00257521867752
-9.059906005859375e-06,4.349908113479614,0.000401973724365,0.00120413303375,0.0407588734905,0.00297713279724,0.0354446609422,0.00257515907288
-1.4066696166992188e-05,28.29758095741272,8.72611999512E-05,0.000764608383179,0.183914936812,0.0276256799698,1.95551331183,0.0275384187698
-2.4080276489257812e-05,28.58557915687561,9.82880592346E-05,0.000603079795837,0.192967434289,0.0261163115501,2.32566779569,0.0260180234909
-5.1975250244140625e-05,46.329888105392456,8.20159912109E-05,0.000447034835815,0.219963903343,0.0116221904755,4.00337538006,0.0115401744843
-1.71661376953125e-05,27.709622859954834,7.30752944946E-05,0.000454902648926,0.205655273094,0.0155490636826,2.32520028308,0.0154759883881
-4.38690185546875e-05,29.68228006362915,8.82744789124E-05,0.000567555427551,0.148274401681,0.0267919301987,1.42996358316,0.0267036557198
-1.71661376953125e-05,27.75167989730835,9.18507575989E-05,0.000510573387146,0.154084573935,0.0196219086647,1.3428911183,0.0195300579071
-2.8133392333984375e-05,21.247793912887573,5.42998313904E-05,0.000356078147888,0.147518891113,0.00441235303879,1.21059331302,0.0043580532074
-2.6941299438476562e-05,15.072346925735474,5.49554824829E-05,0.000333070755005,0.173898941913,0.00998497009277,1.18577434013,0.00993001461029
-1.0013580322265625e-05,47.51735997200012,5.31673431396E-05,0.000312805175781,0.235233758046,0.00449299812317,6.18664750318,0.00443983078003
-3.504753112792969e-05,23.186957836151123,6.75916671753E-05,0.000335931777954,0.162548281347,0.00801813602448,1.6150393233,0.0079505443573
-2.09808349609375e-05,29.65225315093994,8.48770141602E-05,0.00047492980957,0.189188763256,0.0268461704254,1.80490857536,0.0267612934113
-2.47955322265625e-05,27.853512048721313,7.48634338379E-05,0.000434041023254,0.194435495516,0.0115446448326,2.15971845947,0.0114697813988
-2.09808349609375e-05,28.357575178146362,8.82744789124E-05,0.000580430030823,0.181540707794,0.0219570994377,2.23366887207,0.0218688249588
-8.20159912109375e-05,29.660155057907104,8.64267349243E-05,0.000542163848877,0.147239239508,0.0239365100861,1.48379304064,0.0238500833511
-9.059906005859375e-06,336.5014169216156,5.50746917725E-05,0.000348567962646,0.666800925732,0.00525671243668,165.052685006,0.0052016377449
-3.1948089599609375e-05,13.869431972503662,6.80685043335E-05,0.000394821166992,0.132579009364,0.00935399532318,0.836811483299,0.00928592681885
-2.09808349609375e-05,10.991411209106445,6.31809234619E-05,0.000418543815613,0.137227545306,0.00867545604706,0.691714688239,0.0086122751236
-2.9087066650390625e-05,32.33146381378174,6.03199005127E-05,0.000319004058838,0.18534061354,0.00519704818726,2.32809012434,0.00513672828674
-1.5020370483398438e-05,29.596365928649902,8.50558280945E-05,0.000535488128662,0.152961869747,0.0253185629845,1.46689414165,0.0252335071564
-2.7179718017578125e-05,29.672183990478516,8.98838043213E-05,0.000510454177856,0.157632318904,0.0214101076126,1.49804932842,0.0213202238083
